,0
Ly6a_1,10
Lynx1,10
Rpl24,10
Cep97,10
Trappc9,10
Arsa,10
Alcam,10
Atg3,10
Slc35a5,10
Prkdc,10
Mcm4,10
Pdxdc1_1,10
Rrn3,10
Mrpl40_1,10
Pmm2,10
Riox2,10
Cldnd1,10
Snap29,10
Sdf2l1,10
Ppil2_1,10
Ncbp2,10
Pak2_1,10
Tfrc_1,10
Arhgap31,10
Fyttd1,10
Gsk3b_1,10
Klhl24,10
Ndufb4,10
Muc13,10
Gtf2e1,10
Hcls1,10
Mylk,10
Slc49a4_1,10
Senp2_1,10
Btg3,10
Usp25,10
Atp5pf_1,10
Dyrk1a_1,10
Vps26c,10
Slc15a2,10
Parp9,10
Pros1,10
Brwd1_1,10
Runx1_1,10
Atp5po,10
Tmem50b,10
Ifngr2,10
Ifnar1,10
Il10rb,10
Ifnar2_1,10
Paxbp1,10
Sod1,10
Lmbr1l,10
Nckap5l,10
Tmbim6,10
Racgap1,10
Smarcd1,10
Cox14_1,10
Cers5,10
Atf1,10
Slc11a2,10
Nr4a1,10
Krt18,10
Soat2,10
Igfbp6,10
Prr13_1,10
Tarbp2,10
Calcoco1,10
Cdkn1a,10
Nus1,10
Ndufa5_1,10
Fhl1,10
Msrb2,10
Rfc2_1,10
Denr_1,10
Prmt5,10
Sympk_1,10
Nagpa_1,10
Rpp14,10
Hbb-bs,10
Kcnk5,10
Creld2,10
Cd4,10
Twf2,10
Marchf5_1,10
Gcm1,10
Trip6,10
Agap3_1,10
Mrps23_1,10
Hes7,10
Rsph3b_1,10
Rps6ka2,10
Agpat4,10
Igf2r,10
Riok2,10
Chd1,10
Cep43,10
Phf10,10
Hcfc1r1_1,10
Pkmyt1,10
Paqr4,10
Slc25a27,10
Pla2g7,10
Tnfrsf21,10
Cd2ap,10
Tbc1d5,10
Cdc5l,10
Mrpl14_1,10
Hsp90ab1,10
Mrps18a,10
Med20,10
Bysl,10
Trem2,10
Ppil1,10
Fgd2_1,10
Pim1_1,10
Cmtr1_1,10
Rnf8,10
Glo1_1,10
Abcg1,10
Sik1,10
Lbh,10
Ehd3,10
Spast_1,10
Yipf4,10
Eif2ak2,10
Cebpz_1,10
Ndufaf7,10
Pja2,10
Vapa_1,10
Ralbp1,10
Twsg1,10
Ndufv2_1,10
Atp6v0c_1,10
Epas1,10
Rhoq,10
Cript,10
Msh2,10
Nme3,10
Jpt2,10
C3,10
Dusp1_1,10
Cuta_1,10
Bak1_1,10
Rpl36-ps12,10
Uqcc2,10
Nudt3_1,10
Rps10_1,10
Mllt1,10
Taf11,10
Zeb1_1,10
Kif5b,10
Cox7a2l,10
Polr2d,10
Sap130,10
Elp2,10
Mapre2_1,10
Tapbp_1,10
Pfdn6_1,10
Wdr46,10
Vps52,10
H2-K1_1,10
Ring1,10
Slc39a7,10
H2-Oa,10
Tap2_1,10
Pfdn1_1,10
Dnajc18,10
Slc23a1,10
Sil1,10
Hspa9,10
Etf1,10
Stard4,10
Ercc3,10
Iws1_1,10
Csnk2b_1,10
Bag6_1,10
Prrc2a_1,10
Ltb,10
Wdr33_1,10
Lta,10
Riok3_1,10
Rmc1,10
Mrpl27,10
Impact,10
Dele1,10
Rpp21_1,10
Dcp2,10
Ap3s1,10
Yipf5,10
Tcerg1,10
Hsd17b4,10
Smad4,10
Sec11c_1,10
Impa2,10
Srfbp1,10
Afg3l2,10
Psmg2,10
Seh1l,10
Setbp1,10
Me2,10
Cxxc1_1,10
Rbfa,10
Napg,10
Txnl1_1,10
Nars1_1,10
Fech_1,10
Lmnb1,10
C330018D20Rik,10
Prrc1,10
Isoc1,10
Dctn4_1,10
Rbm22,10
Rps14,10
Tmx3,10
Csf1r,10
Gnaq,10
Cndp2,10
Cyb5a_1,10
Incenp_1,10
Fth1,10
Fads2,10
Cd6,10
Ms4a6b,10
Ms4a6d,10
Osbp,10
Fam111a,10
Lpxn,10
Rfk,10
Ostf1_1,10
Carnmt1,10
Ccdc86_1,10
Prpf19,10
Slc15a3_1,10
Ddb1_1,10
Zfand5_1,10
Naa40,10
Otub1,10
Ehd1,10
Ppp2r5b,10
Ak3,10
Snx15,10
Jak2,10
Zfpl1,10
Vps51_1,10
Syvn1,10
Frmd8,10
Tnks2,10
Uhrf2_1,10
Rad9a,10
Eif1ad,10
Banf1_1,10
Aip_1,10
Pold4_1,10
Sf3b2_1,10
Cdk2ap2_1,10
Pacs1,10
Grk2_1,10
Pip5k1b,10
Nudt8,10
Rab1b,10
Doc2g,10
Minpp1,10
Dock8,10
Cpt1a,10
Mrpl11_1,10
Dpp3,10
Drap1_1,10
Rnaseh2c_1,10
Rela_1,10
Znrd2,10
Scyl1_1,10
Capn1,10
Arl2,10
Map4k2_1,10
Prdx5_1,10
Plcb3,10
Vegfb_1,10
Stip1,10
Plaat3_1,10
Smc3,10
Pdcd4,10
Eif3a,10
Prdx3,10
Noc3l,10
Tm9sf3_1,10
Kctd1,10
Trim8,10
Arl3_1,10
Sfxn2,10
Fundc1,10
Taf5,10
Slk,10
Gsto1,10
Trub1,10
Slc18a2,10
3110040N11Rik,10
Btbd1_1,10
P4hb_1,10
Alyref_1,10
Ints4_1,10
Anapc11_1,10
Pcyt2,10
Pycr1,10
Aspscr1,10
Zdhhc16_1,10
Rfng,10
Cd7,10
Ogfod3,10
Ubtd1,10
Wdr45b,10
Fn3k,10
R3hcc1l_1,10
Got1,10
Scd2,10
Ndufb8_1,10
Poll,10
Oga_1,10
Ldb1_1,10
Hexa,10
Adpgk,10
Limd1,10
Slc6a20b,10
Hsd17b10,10
Dnase1l3,10
Sat1_1,10
Polr3a,10
Prdx4,10
Sbds,10
Bloc1s1,10
Gdf11,10
Mmp19,10
Dgka_1,10
Rps26_1,10
Pa2g4,10
Esyt1_1,10
Myl6b,10
Smarcc2_1,10
Chmp6,10
Baiap2,10
Nabp2_1,10
Cnpy2_1,10
Faap100,10
Atp5f1b_1,10
Ddit3_1,10
Mbd6_1,10
Dctn2,10
Ier3ip1_1,10
Ark2c,10
Atp5f1a,10
Clns1a,10
4833420G17Rik_1,10
Echs1_1,10
Inpp5a,10
Bet1l,10
Ric8a_1,10
Psmd13_1,10
Ifitm3,10
Ptdss2_1,10
Irf7_1,10
Taldo1,10
Pnpla2_1,10
Tmem192,10
Apool,10
Crcp,10
Gusb_1,10
Tm9sf2,10
Clybl,10
Syngr2_1,10
Tmc6,10
Cbx4,10
Gaa,10
Eif4a3_1,10
Pde8a,10
Mkln1_1,10
Bach1,10
Cct8_1,10
Hprt1,10
Shisa5_1,10
Uqcrc1_1,10
Wdr73,10
Wdr24,10
Prps2,10
Hadhb,10
Hadha_1,10
Tyms,10
Ly96,10
Taf3_1,10
Clec3b,10
Exosc7,10
Zdhhc3_1,10
Slco3a1,10
Slc25a10,10
Rpl14-ps1,10
Rassf3,10
Klkb1,10
Ccr1,10
Nrp1,10
Nudt5,10
Iscu_1,10
Fam20c,10
Get4_1,10
Cplx2,10
Higd2a,10
Nop16,10
Thoc3,10
Faf2_1,10
Tspan17_1,10
Smad7,10
Casp4,10
Casp1,10
Lypla1_1,10
Cops5,10
Tmem14a,10
Tram1,10
Lactb2,10
Maip1,10
Hspd1,10
Sf3b1,10
Slc40a1,10
Acadl,10
Rpe,10
